Year,Month,DayofMonth,UniqueCarrier,Cancelled,AllFlights
1987,11,15,CO,325,1267
1987,11,15,DL,64,1987
1987,11,15,EA,27,1149
1987,11,15,HP,19,481
1987,11,15,NW,10,1141
1987,11,15,"PA (1)",0,168
1987,11,15,PI,18,1210
1987,11,15,PS,0,421
1987,11,15,TW,6,761
1987,11,15,UA,243,1640
1987,11,15,US,3,1019
1987,11,15,WN,15,584
1987,11,16,AA,14,1766
1987,11,16,AS,0,242
1987,11,16,CO,153,1357
1987,11,16,DL,38,2043
1987,11,16,EA,36,1152
1987,11,16,HP,0,507
1987,11,16,NW,43,1195
1987,11,16,"PA (1)",3,190
1987,11,16,PI,13,1297
1987,11,16,PS,2,471
1987,11,16,TW,0,759
1987,11,16,UA,52,1637
1987,11,16,US,1,1081
1987,11,16,WN,23,745
1987,11,17,AA,22,1795
1987,11,17,AS,5,241
1987,11,17,CO,15,1292
1987,11,17,DL,23,2025
1987,11,17,EA,37,1184
1987,11,17,HP,5,517
1987,11,17,NW,8,1222
1987,11,17,"PA (1)",3,182
1987,11,17,PI,5,1284
1987,11,17,PS,27,503
1987,11,17,TW,3,780
1987,11,17,UA,18,1626
1987,11,17,US,2,1077
1987,11,17,WN,4,760
1987,11,18,AA,0,1789
1987,11,18,AS,2,253
1987,11,18,CO,6,1307
1987,11,18,DL,27,2029
1987,11,18,EA,21,1187
1987,11,18,HP,1,505
1987,11,18,NW,6,1212
1987,11,18,"PA (1)",0,188
1987,11,18,PI,8,1297
1987,11,18,PS,4,489
1987,11,18,TW,1,757
1987,11,18,UA,11,1675
1987,11,18,US,1,1085
1987,11,18,WN,5,755
1987,11,19,AA,3,1793
1987,11,19,AS,2,248
1987,11,19,CO,13,1313
1987,11,19,DL,16,2047
1987,11,19,EA,25,1195
1987,11,19,HP,5,517
1987,11,19,NW,1,1226
1987,11,19,"PA (1)",1,183
1987,11,19,PI,5,1289
1987,11,19,PS,4,511
1987,11,19,TW,0,769
1987,11,19,UA,5,1680
1987,11,19,US,0,1087
1987,11,19,WN,0,733
1987,11,20,AA,11,1798
1987,11,20,AS,0,262
1987,11,20,CO,2,1325
1987,11,20,DL,34,2054
1987,11,20,EA,22,1239
1987,11,20,HP,5,501
1987,11,20,NW,5,1194
1987,11,20,"PA (1)",0,192
1987,11,20,PI,2,1294
1987,11,20,PS,3,488
1987,11,20,TW,2,781
1987,11,20,UA,7,1657
1987,11,20,US,0,1052
1987,11,20,WN,4,753
1987,11,21,AA,2,1766
1987,11,21,AS,2,225
1987,11,21,CO,5,1197
1987,11,21,DL,21,1990
1987,11,21,EA,23,1126
1987,11,21,HP,4,499
1987,11,21,NW,9,1060
1987,11,21,"PA (1)",1,191
1987,11,21,PI,20,1174
1987,11,21,PS,1,332
1987,11,21,TW,0,720
1987,11,21,UA,15,1611
1987,11,21,US,7,914
1987,11,21,WN,0,522
1987,11,22,AA,6,1779
1987,11,22,AS,0,223
1987,11,22,CO,5,1251
1987,11,22,DL,31,2001
1987,11,22,EA,34,1161
1987,11,22,HP,7,485
1987,11,22,NW,5,1108
1987,11,22,"PA (1)",0,184
1987,11,22,PI,12,1224
1987,11,22,PS,0,443
1987,11,22,TW,2,754
1987,11,22,UA,5,1677
1987,11,22,US,0,1030
1987,11,22,WN,0,653
1987,11,23,AA,5,1822
1987,11,23,AS,5,244
1987,11,23,CO,6,1376
1987,11,23,DL,26,2079
1987,11,23,EA,19,1185
1987,11,23,HP,0,509
1987,11,23,NW,10,1187
1987,11,23,"PA (1)",1,197
1987,11,23,PI,30,1298
1987,11,23,PS,2,501
1987,11,23,TW,3,803
1987,11,23,UA,3,1666
1987,11,23,US,0,1075
1987,11,23,WN,5,752
1987,11,24,AA,7,1819
1987,11,24,AS,0,252
1987,11,24,CO,1,1370
1987,11,24,DL,27,2061
1987,11,24,EA,22,1217
1987,11,24,HP,4,504
1987,11,24,NW,5,1200
1987,11,24,"PA (1)",0,195
1987,11,24,PI,9,1303
1987,11,24,PS,0,483
1987,11,24,TW,6,730
1987,11,24,UA,7,1654
1987,11,24,US,8,1079
1987,11,24,WN,2,720
1987,11,25,AA,5,1788
1987,11,25,AS,2,244
1987,11,25,CO,5,1370
1987,11,25,DL,37,2051
1987,11,25,EA,23,1233
1987,11,25,HP,2,477
1987,11,25,NW,1,1164
1987,11,25,"PA (1)",0,201
1987,11,25,PI,2,1309
1987,11,25,PS,0,550
1987,11,25,TW,3,773
1987,11,25,UA,5,1676
1987,11,25,US,3,1089
1987,11,25,WN,5,708
1987,11,26,AA,9,1526
1987,11,26,AS,8,88
1987,11,26,CO,44,1093
1987,11,26,DL,31,1662
1987,11,26,EA,16,1042
1987,11,26,HP,13,498
1987,11,26,NW,4,899
1987,11,26,"PA (1)",0,201
1987,11,26,PI,5,1139
1987,11,26,PS,0,281
1987,11,26,TW,0,457
1987,11,26,UA,11,1327
1987,11,26,US,10,929
1987,11,26,WN,1,364
1987,11,27,AA,8,1429
1987,11,27,AS,0,145
1987,11,27,CO,4,989
1987,11,27,DL,19,1524
1987,11,27,EA,15,987
1987,11,27,HP,1,515
1987,11,27,NW,5,684
1987,11,27,"PA (1)",1,199
1987,11,27,PI,7,1005
1987,11,27,PS,0,294
1987,11,27,TW,3,355
1987,11,27,UA,2,1246
1987,11,27,US,3,880
1987,11,27,WN,2,444
1987,11,28,AA,14,1716
1987,11,28,AS,0,205
1987,11,28,CO,2,1200
1987,11,28,DL,27,1859
1987,11,28,EA,15,1050
1987,11,28,HP,8,515
1987,11,28,NW,2,987
1987,11,28,"PA (1)",3,192
1987,11,28,PI,12,1200
1987,11,28,PS,1,330
1987,11,28,TW,1,618
1987,11,28,UA,1,1390
1987,11,28,US,0,927
1987,11,28,WN,0,470
1987,11,29,AA,4,1812
1987,11,29,AS,1,213
1987,11,29,CO,4,1258
1987,11,29,DL,18,2023
1987,11,29,EA,28,1155
1987,11,29,HP,5,494
1987,11,29,NW,18,1113
1987,11,29,"PA (1)",5,183
1987,11,29,PI,7,1308
1987,11,29,PS,0,508
1987,11,29,TW,0,740
1987,11,29,UA,2,1648
1987,11,29,US,1,1049
1987,11,29,WN,0,641
1987,11,30,AA,9,1805
1987,11,30,AS,0,231
1987,11,30,CO,4,1343
1987,11,30,DL,39,2068
1987,11,30,EA,29,1161
1987,11,30,HP,0,480
1987,11,30,NW,6,1200
1987,11,30,"PA (1)",1,186
1987,11,30,PI,5,1286
1987,11,30,PS,14,496
1987,11,30,TW,1,775
1987,11,30,UA,3,1695
1987,11,30,US,3,1083
1987,11,30,WN,1,730
1987,12,1,AA,15,1809
1987,12,1,AS,3,242
1987,12,1,CO,3,1390
1987,12,1,DL,4,2036
1987,12,1,EA,35,1193
1987,12,1,HP,18,518
1987,12,1,NW,4,1157
1987,12,1,"PA (1)",0,194
1987,12,1,PI,17,1300
1987,12,1,PS,35,512
1987,12,1,TW,6,759
1987,12,1,UA,16,1684
1987,12,1,US,2,1062
1987,12,1,WN,2,740
1987,12,2,AA,21,1790
1987,12,2,AS,3,242
1987,12,2,CO,22,1391
1987,12,2,DL,4,2074
1987,12,2,EA,28,1216
1987,12,2,HP,2,514
1987,12,2,NW,10,1178
1987,12,2,"PA (1)",0,191
1987,12,2,PI,5,1305
1987,12,2,PS,32,494
1987,12,2,TW,2,761
